origin_id,destination_id,total_trips
182,87,2184.56
182,88,245.81
182,89,1840.52
182,9,377.45
182,90,1267.33
182,91,369.17
182,92,2072.51
182,93,450.41
182,94,725.92
182,95,245.93
182,96,1121.13
182,97,142.93
182,98,523.71
182,99,166.58
19,182,328.22
2,182,7423.82
20,182,97.24
22,182,271.28
23,182,246.44
24,182,1227.7
25,182,548.72
26,182,4664.4
27,182,192.83
28,182,95.84
29,182,1142.16
3,182,168.8
30,182,2153.97
31,182,<10
32,182,244.91
33,182,2800.23
34,182,868.36
35,182,1113.37
36,182,3978.23
37,182,842.34
38,182,1621.56
39,182,75.87
4,182,483.49
40,182,1700.1
41,182,24.28
42,182,142.44
43,182,1455.75
44,182,85.84
45,182,748.94
46,182,916.89
47,182,809.13
48,182,249.8
49,182,9221.42
5,182,126.42
50,182,1610.18
51,182,1012.61
52,182,232.59
53,182,29.82
54,182,763.53
55,182,811.23
56,182,730.01
57,182,3831.29
58,182,580.7
59,182,489.5
6,182,773.89
60,182,248.79
61,182,387.91
62,182,165.33
63,182,780.45
64,182,1963.93
65,182,757.31
66,182,133.53
67,182,2541.71
68,182,956.93
69,182,1867.4
7,182,587.44
70,182,1908.34
71,182,1341.97
72,182,77.64
73,182,1057.02
74,182,722.06
75,182,1000.9
76,182,158.61
77,182,21.41
78,182,538.23
79,182,2863.69
8,182,73.94
81,182,530.42
82,182,324.54
83,182,649.49
84,182,864.4
85,182,259.51
86,182,429.97
87,182,2205.14
88,182,242.0
89,182,1262.71
9,182,407.06
90,182,1690.31
91,182,398.27
92,182,1945.65
93,182,637.56
94,182,915.58
95,182,396.94
96,182,542.7
97,182,168.46
98,182,423.27
99,182,220.57
